treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
0,28,14,1,0,0,0,339.68313272920324,1223.6119893531356,8904.381220306239
0,24,10,1,0,0,1,0.0,84.23708841114588,6614.510566306002
0,29,10,1,0,0,0,0.0,0.0,6358.374497336084
0,35,11,1,0,0,1,3157.9930181237523,0.0,11258.34651080197
1,23,10,1,0,0,0,0.0,0.0,9756.27988038249
0,23,10,1,0,0,1,1724.5856850986515,950.6395982661396,8364.31819822152
0,36,8,0,0,0,1,0.0,0.0,2087.144836723152
0,30,10,1,0,0,1,0.0,545.5560806356975,5927.927594551246
0,21,13,1,1,0,0,1261.0254889028179,0.0,11574.315127688367
1,28,12,1,0,0,1,1931.9599393525102,0.0,10092.677701177521
0,21,13,1,0,0,1,0.0,530.4324117265452,10537.724132285377
0,21,8,1,0,0,0,1115.437765711922,2271.519500964078,12315.6225809857
0,26,8,1,0,0,0,801.8050675033186,956.927405790824,9643.437949614692
0,17,9,0,0,0,1,1661.2897333471885,0.0,7177.861933103383
0,17,10,1,0,1,1,0.0,272.6155849553778,5448.817164899432
1,21,12,1,0,0,1,450.1117022047718,606.8395992744456,2056.4366022760696
0,17,6,1,0,0,1,5449.366698870503,0.0,6029.655242242593
1,27,13,1,0,0,1,2336.48850275648,0.0,9622.909063376397
1,18,9,1,0,0,0,0.0,0.0,9171.098583186127
0,17,9,1,0,1,0,1624.7205934233812,0.0,6525.700497102951
0,35,7,1,0,0,1,3023.866660767406,296.1477695004749,5434.849150769981
0,23,6,0,1,0,1,32.66611700668128,0.0,0.0
1,25,11,1,0,0,1,0.0,925.2666816951722,6357.676517058353
1,17,10,1,0,0,0,81.93329972584974,1855.1125491585788,10511.066877067
0,21,7,1,0,0,0,4412.975470970122,6175.951575168483,13824.401007239667
0,25,7,1,0,0,1,0.0,77.21683606287934,5130.588899581994
1,17,9,1,0,0,0,0.0,0.0,8983.43322072237
0,27,13,1,0,0,0,472.251301294582,0.0,11499.10986124679
1,20,9,1,0,0,1,0.0,0.0,5467.318191399252
0,22,6,1,0,1,1,583.4507134943143,305.565526883016,6267.147001969526
0,20,9,1,0,1,1,4013.310005885194,0.0,5382.522682769082
0,37,9,1,0,0,1,217.04789954796513,33.133327528092934,9069.527683595852
0,24,4,0,0,0,1,0.0,0.0,4354.209143855198
0,17,9,1,0,0,1,0.0,0.0,7295.355441944319
0,30,9,1,0,0,0,2240.7276851896745,0.0,4824.422513301135
1,17,11,1,0,0,1,0.0,1396.7137703461594,11440.111209936204
0,26,13,1,0,1,1,784.0991325684687,838.8472691610928,15141.022684211917
1,17,12,1,0,1,1,0.0,0.0,6376.264913715382
0,17,9,0,0,0,1,0.0,2295.2575078852997,6069.300229423018
1,26,7,1,0,0,1,0.0,0.0,7594.822422504276
0,30,15,1,0,0,1,2294.7594012803957,2152.5331254364155,13093.406394002493
1,26,10,1,0,0,1,1713.0231612243638,3356.664356495559,8242.26739944757
1,24,10,1,0,0,1,0.0,0.0,0.0
0,22,9,1,0,0,1,0.0,1150.3277448375247,10822.666805943332
0,17,10,1,0,0,1,0.0,0.0,9181.518358752428
0,19,9,0,0,0,1,513.0708881981344,739.4997241840077,1546.928592254647
0,21,8,1,0,0,1,0.0,0.0,4077.293624661332
1,32,8,1,0,1,1,531.4049992473073,3365.5336855256364,13273.62889401386
0,27,9,1,0,0,0,1963.4201881003826,0.0,11432.415311803714
0,17,8,1,0,0,1,2749.3503887127013,1432.0397105523798,9970.337097816358
0,27,8,1,0,0,1,0.0,3924.045550358222,6548.876363227879
0,22,10,1,1,0,0,123.63017460901631,4907.564626867544,8758.320696880497
1,20,9,1,0,0,1,0.0,1066.841600906857,7827.275064893678
0,29,13,1,0,0,1,0.0,904.4793674936211,12056.063160054598
0,32,4,1,0,1,0,3786.8723067421765,0.0,2508.5344725373225
0,31,12,1,0,0,0,92.08121991530511,0.0,5610.225401321977
0,19,12,0,0,1,0,0.0,0.0,11030.823760508047
0,22,5,1,0,0,1,0.0,1300.6423180390489,4657.1083288770305
0,27,9,1,0,0,1,1302.2008132675517,0.0,10926.06231034169
0,31,9,1,0,0,1,0.0,490.6914602478482,4532.670817132717
0,21,7,0,0,0,1,806.8488975484607,778.7116207565174,5711.333074475017
0,23,8,0,0,0,1,1252.2370270944937,0.0,3508.4321535964887
0,17,7,1,0,0,1,0.0,0.0,5422.088044270701
0,17,13,0,0,0,0,0.0,0.0,4064.359189003603
1,30,11,1,0,1,1,0.0,0.0,7437.099737135111
0,34,12,1,0,1,1,56.494940917444666,0.0,3608.1868874908796
0,24,11,1,0,1,1,1995.9525926911292,0.0,10080.555477381113
0,32,7,1,0,0,1,0.0,1071.434058928875,7871.198236957618
0,27,8,1,0,0,1,1588.7887914672515,449.2118133986311,1320.6119900067297
1,20,10,1,0,0,1,383.8886612122792,0.0,12516.823834865403
0,27,7,1,0,0,1,0.0,0.0,12892.245379259562
0,35,11,1,0,0,1,2180.243718297424,0.0,8192.09227569825
0,24,9,1,0,0,0,0.0,5096.933733918763,6105.737339501695
0,35,9,1,0,0,0,0.0,4342.673795242986,16275.793911582034
0,17,11,1,0,0,1,0.0,0.0,3443.094505092468
0,30,10,1,0,1,1,0.0,0.0,6960.319400607295
0,25,9,1,0,0,0,0.0,3605.1900443963937,8120.423831214688
0,22,12,0,0,0,0,0.0,9.304532492909495,12038.234221105116
0,25,7,1,0,0,1,143.83876889812254,0.0,6522.368556049802
0,17,11,1,0,1,0,188.3507217295123,4445.465577423952,7394.243202380685
0,23,11,1,0,0,1,1837.146698423506,0.0,5097.590898363183
0,27,9,1,0,0,0,0.0,0.0,5474.534539261594
0,35,10,1,1,0,0,0.0,4856.564463422741,5436.18725619139
1,21,7,1,0,1,1,0.0,1156.7932842854223,7390.513944639675
0,19,11,0,0,0,0,309.29167510138745,0.0,5900.198962948957
0,21,9,1,0,0,1,2508.5600718351525,446.8653003327386,2804.514231781115
1,31,8,0,0,0,0,0.0,0.0,11265.437365124712
0,27,12,0,0,0,1,0.0,1770.9163029659571,6938.257320602668
0,21,8,1,0,0,0,2393.549448913991,0.0,2913.6544197482594
0,28,7,0,0,1,1,0.0,8079.580002745574,7319.096597361048
1,25,6,1,0,0,1,0.0,508.48662809431994,6757.660686331272
1,31,11,1,0,0,1,2256.253583235199,0.0,4337.475898233459
0,20,7,1,0,0,0,2276.5772693582526,1143.1786250916982,7520.869769712273
0,22,13,0,0,0,0,0.0,780.4183973376539,5592.652813130502
0,22,5,0,1,0,0,0.0,277.98048181168343,9716.480572115868
0,17,13,1,0,0,0,2.2254260635657297,0.0,10072.549164049275
0,27,10,1,0,0,1,0.0,2879.2241338317885,6564.067269821588
0,26,9,1,0,0,1,0.0,1034.7281736241516,4474.915141135196
